channel_id,day,advertiser_id,impressions,verified_visits,verified_visit_conversions,verified_visit_total_order_value,total_spend,name
6,2017-09-18,19548,4919,49,4,239.84,30.2591,"Mobile Web Retargeting"
5,2017-07-09,20365,5869,10,1,1287,21.707,"Facebook Retargeting"
5,2017-07-09,20379,5079,36,0,0,3.8001,"Facebook Retargeting"
5,2017-07-09,20427,3487,2,0,0,32.9764,"Facebook Retargeting"
5,2017-07-09,20483,11589,12,0,0,54.2588,"Facebook Retargeting"
7,2017-07-09,20483,61064,484,5,1995,1035.2002,"Facebook Prospecting"
5,2017-07-09,20648,1101,6,0,0,1.6825,"Facebook Retargeting"
5,2017-07-09,20654,6170,11,0,0,23.0823,"Facebook Retargeting"
7,2017-07-09,20677,5019,47,0,0,85.9648,"Facebook Prospecting"
8,2017-07-09,20677,1180,27,0,0,23.2353,"Instagram Prospecting"
7,2017-07-09,20729,18135,22,0,0,132.8305,"Facebook Prospecting"
5,2017-07-09,19436,26220,40,0,0,113.5954,"Facebook Retargeting"
5,2017-07-09,19441,349927,2092,33,6023.48,707.5999,"Facebook Retargeting"
5,2017-07-09,19524,63617,36,0,0,65.506,"Facebook Retargeting"
6,2017-09-18,20648,13034,41,1,338,130.34,"Mobile Web Retargeting"
1,2017-09-18,20654,2919,18,1,95,23.352,"Desktop Retargeting"
6,2017-09-18,20654,2888,5,0,0,23.104,"Mobile Web Retargeting"
3,2017-09-18,20677,2533,85,0,0,10.132,"Desktop Prospecting"
1,2017-09-18,20681,2376,32,0,0,23.76,"Desktop Retargeting"
1,2017-09-18,20694,40906,86,21,1161.94,368.154,"Desktop Retargeting"
6,2017-09-18,20694,14650,16,1,101.91,131.85,"Mobile Web Retargeting"
1,2017-09-18,20695,26403,57,5,159.48,237.627,"Desktop Retargeting"
6,2017-09-18,20695,20456,37,0,0,184.104,"Mobile Web Retargeting"
5,2017-07-09,12607,288390,870,13,1036.22,1066.82,"Facebook Retargeting"
7,2017-07-09,12607,60716,96,0,0,353.896,"Facebook Prospecting"
8,2017-07-09,12607,18173,24,0,0,92.803,"Instagram Prospecting"
5,2017-07-09,12608,32465,130,1,130,88.465,"Facebook Retargeting"
5,2017-07-09,12616,15344,5,0,0,7.1646,"Facebook Retargeting"
5,2017-08-13,20736,44126,1152,11,250.03,181.0588,"Facebook Retargeting"
5,2017-08-13,20876,41530,293,8,439.4,628.2352,"Facebook Retargeting"
5,2017-07-09,12107,33514,17,0,0,62.4235,"Facebook Retargeting"
5,2017-07-09,12112,23501,17,0,0,57.7998,"Facebook Retargeting"
1,2017-09-18,12961,101935,105,7,208.82,611.61,"Desktop Retargeting"
3,2017-09-18,12961,85456,31,1,30.94,341.824,"Desktop Prospecting"
6,2017-09-18,12961,20628,25,1,29.98,123.768,"Mobile Web Retargeting"
1,2017-09-18,12965,27651,48,2,249.5,177.1655,"Desktop Retargeting"
6,2017-09-18,12965,6145,6,0,0,37.575,"Mobile Web Retargeting"
1,2017-09-18,12971,40598,32,0,0,152.2502,"Desktop Retargeting"
3,2017-09-18,12971,110089,50,0,0,412.8401,"Desktop Prospecting"
6,2017-09-18,12971,24241,18,0,0,90.9059,"Mobile Web Retargeting"
1,2017-09-18,12977,50535,33,1,60,200.924,"Desktop Retargeting"
6,2017-09-18,12977,24805,25,1,60,83.2396,"Mobile Web Retargeting"
1,2017-09-18,13010,18797,35,1,374.8,75.3685,"Desktop Retargeting"
5,2017-07-09,10738,43374,34,0,0,87.0706,"Facebook Retargeting"
1,2017-09-18,10951,6025,34,0,0,35.2002,"Desktop Retargeting"
1,2017-09-18,10970,53,4,0,0,0.212,"Desktop Retargeting"
6,2017-09-18,10970,2505,1,0,0,16.2825,"Mobile Web Retargeting"
1,2017-09-18,10972,86,0,0,0,0.344,"Desktop Retargeting"
1,2017-09-18,10976,4,0,0,0,0.0076,"Desktop Retargeting"
6,2017-09-18,10976,1,0,0,0,0.0019,"Mobile Web Retargeting"
1,2017-09-18,11101,68431,98,2,889.65,444.8015,"Desktop Retargeting"
6,2017-09-18,11101,2690,0,0,0,17.485,"Mobile Web Retargeting"
1,2017-09-18,11117,10883,23,8,1823.49,31.3665,"Desktop Retargeting"
1,2017-09-18,11152,1268443,1027,210,14187.94,8244.8795,"Desktop Retargeting"
3,2017-07-09,10597,48968,4,0,0,293.808,"Desktop Prospecting"
6,2017-07-09,10597,61973,234,4,298.92,433.811,"Mobile Web Retargeting"
1,2017-07-09,10626,9067,17,1,312.11,30.427,"Desktop Retargeting"
1,2017-07-09,10649,29229,9,1,70.28,102.3015,"Desktop Retargeting"
6,2017-07-09,10649,24449,33,2,95,85.5715,"Mobile Web Retargeting"
1,2017-07-09,10685,1081,8,0,0,9.5789,"Desktop Retargeting"
1,2017-07-09,10689,16264,31,0,0,48.792,"Desktop Retargeting"
1,2017-07-09,10714,345706,216,62,47791.63,1913.3,"Desktop Retargeting"
1,2017-07-09,10729,5603,18,4,559.45,20.2101,"Desktop Retargeting"
1,2017-07-09,10730,203989,204,35,1936.95,1266.6482,"Desktop Retargeting"
1,2017-07-09,10738,116957,76,17,5865.43,409.3495,"Desktop Retargeting"
6,2017-07-09,10738,7307,7,0,0,25.5745,"Mobile Web Retargeting"
1,2017-07-09,10740,92567,30,0,0,370.268,"Desktop Retargeting"
3,2017-07-09,10740,9329,2,0,0,37.316,"Desktop Prospecting"
1,2017-07-09,10750,17114,24,0,0,50.6295,"Desktop Retargeting"
1,2017-07-09,10797,96429,76,20,2131.9,409.8304,"Desktop Retargeting"
6,2017-07-09,10797,18576,34,2,73.3,78.9487,"Mobile Web Retargeting"
1,2017-07-09,10798,1,0,0,0,0.0035,"Desktop Retargeting"
1,2017-07-09,10841,34223,20,1,311,175.2075,"Desktop Retargeting"
1,2017-09-18,12524,124568,105,2,259.97,644.9445,"Desktop Retargeting"
6,2017-09-18,12524,33697,34,0,0,202.182,"Mobile Web Retargeting"
1,2017-09-18,12536,106,3,0,0,0.324,"Desktop Retargeting"
6,2017-09-18,12536,261,0,0,0,1.032,"Mobile Web Retargeting"
1,2017-09-18,12540,44701,81,7,393.89,206.1946,"Desktop Retargeting"
6,2017-09-18,12540,3984,4,0,0,17.3932,"Mobile Web Retargeting"
1,2017-09-18,12543,15801,19,0,0,66.599,"Desktop Retargeting"
1,2017-09-18,12566,231393,209,17,5104.45,1448.577,"Desktop Retargeting"
6,2017-09-18,12566,50997,40,0,0,305.982,"Mobile Web Retargeting"
1,2017-09-18,12569,47685,74,7,694.93,238.425,"Desktop Retargeting"
6,2017-09-18,12569,34972,38,0,0,174.86,"Mobile Web Retargeting"
1,2017-09-18,12576,33760,32,5,1275,168.8,"Desktop Retargeting"
3,2017-09-18,12576,20427,19,0,0,102.135,"Desktop Prospecting"
6,2017-09-18,12576,20778,15,2,580,103.89,"Mobile Web Retargeting"
1,2017-09-18,12581,20711,31,0,0,82.844,"Desktop Retargeting"
1,2017-09-18,12586,190480,483,72,4092.91,1052.252,"Desktop Retargeting"
1,2017-09-18,12015,68724,100,0,0,246.8885,"Desktop Retargeting"
1,2017-09-18,9068,229932,439,58,9945.36,1781.9799,"Desktop Retargeting"
6,2017-09-18,9068,91383,104,7,1816.31,653.113,"Mobile Web Retargeting"
1,2017-09-18,9122,15381,28,0,0,131.5827,"Desktop Retargeting"
6,2017-09-18,9122,5683,14,0,0,34.9503,"Mobile Web Retargeting"
1,2017-09-18,9167,50140,32,5,219.73,125.35,"Desktop Retargeting"
1,2017-09-18,9175,47175,13,2,231.96,117.9375,"Desktop Retargeting"
1,2017-09-18,9194,19634,36,5,463.56,9.817,"Desktop Retargeting"
1,2017-09-18,9205,63012,24,1,34.98,157.53,"Desktop Retargeting"
1,2017-09-18,9217,56458,44,4,258.92,187.986,"Desktop Retargeting"
1,2017-09-18,9218,7125,33,0,0,34.908,"Desktop Retargeting"
1,2017-09-18,9266,33375,25,2,510.4,100.125,"Desktop Retargeting"
1,2017-09-18,9300,94943,246,40,15583.19,427.2435,"Desktop Retargeting"
6,2017-09-18,9300,17687,51,2,0,70.748,"Mobile Web Retargeting"
5,2017-09-18,12540,48896,105,2,85.92,52.4,"Facebook Retargeting"
5,2017-09-18,12586,393887,2723,104,5952.62,3261.8003,"Facebook Retargeting"
7,2017-09-18,12586,654750,197,1,6.99,2266.4705,"Facebook Prospecting"
5,2017-09-18,9218,6455,8,0,0,3.8002,"Facebook Retargeting"
5,2017-09-18,9300,1022838,3423,104,89759.26,305.0238,"Facebook Retargeting"
7,2017-09-18,9300,77003,45,35,11583.1,182.7292,"Facebook Prospecting"
5,2017-09-18,9656,52452,50,0,0,168.4157,"Facebook Retargeting"
7,2017-09-18,9656,3096,18,0,0,24.1701,"Facebook Prospecting"
7,2017-09-18,9698,81514,39,0,0,324.6509,"Facebook Prospecting"
5,2017-09-18,10046,1176343,1416,5,1763.91,2534.0588,"Facebook Retargeting"
5,2017-09-18,10047,251641,247,0,0,413.1058,"Facebook Retargeting"
5,2017-09-18,20232,79541,83,0,0,151.4471,"Facebook Retargeting"
7,2017-09-18,20232,36096,202,5,649.04,456.0236,"Facebook Prospecting"
5,2017-09-18,20320,92066,167,3,505,256.4352,"Facebook Retargeting"
5,2017-09-18,20365,29021,62,0,0,104.5284,"Facebook Retargeting"
7,2017-09-18,20365,215551,17,0,0,352.8288,"Facebook Prospecting"
1,2017-09-18,19550,29521,133,26,1679.58,227.9412,"Desktop Retargeting"
6,2017-09-18,19550,4306,16,0,0,28.0341,"Mobile Web Retargeting"
3,2017-09-18,19551,68721,22,0,0,206.163,"Desktop Prospecting"
1,2017-09-18,19558,10543,25,8,368.17,105.43,"Desktop Retargeting"
1,2017-09-18,19571,6675,31,2,163.16,53.4,"Desktop Retargeting"
1,2017-09-18,19595,12914,28,3,474.82,121.651,"Desktop Retargeting"
6,2017-09-18,19595,1564,3,0,0,15.64,"Mobile Web Retargeting"
1,2017-09-18,19632,2354,26,5,1945.06,23.54,"Desktop Retargeting"
1,2017-09-18,19691,21778,21,0,0,87.112,"Desktop Retargeting"
1,2017-09-18,19703,44878,466,28,1669.51,583.414,"Desktop Retargeting"
6,2017-09-18,19703,45488,381,32,2137.68,591.344,"Mobile Web Retargeting"
1,2017-09-18,19752,3670,51,0,0,33.03,"Desktop Retargeting"
6,2017-09-18,19752,12626,72,0,0,113.634,"Mobile Web Retargeting"
1,2017-09-18,19761,23952,32,1,59.89,101.7997,"Desktop Retargeting"
6,2017-09-18,19761,3948,5,0,0,16.7823,"Mobile Web Retargeting"
5,2017-09-18,11618,17255,6,0,0,36,"Facebook Retargeting"
7,2017-09-18,11618,13786,81,0,0,89.6471,"Facebook Prospecting"
5,2017-09-18,11686,28407,38,4,59.9,68.2794,"Facebook Retargeting"
5,2017-09-18,11738,217744,188,0,0,552.7647,"Facebook Retargeting"
5,2017-09-18,11856,17078,20,0,0,24.0471,"Facebook Retargeting"
5,2017-09-18,11885,257052,129,4,0,735.1294,"Facebook Retargeting"
7,2017-09-18,11891,90958,37,0,0,218.9647,"Facebook Prospecting"
1,2017-09-18,12018,115999,116,16,819.22,579.995,"Desktop Retargeting"
1,2017-09-18,12019,6929,15,2,1580.28,29.4507,"Desktop Retargeting"
1,2017-09-18,12026,7133,29,0,0,24.9655,"Desktop Retargeting"
1,2017-09-18,12028,10549,25,0,0,36.9215,"Desktop Retargeting"
1,2017-09-18,12037,15765,32,0,0,80.1802,"Desktop Retargeting"
6,2017-09-18,12037,634,3,0,0,3.17,"Mobile Web Retargeting"
1,2017-09-18,12038,643,4,0,0,3.858,"Desktop Retargeting"
1,2017-09-18,12053,8718,20,2,271.78,34.272,"Desktop Retargeting"
1,2017-09-18,12061,48531,66,10,400.9,240.1756,"Desktop Retargeting"
1,2017-09-18,12062,48927,130,3,658.46,391.416,"Desktop Retargeting"
1,2017-09-18,12069,67482,89,9,839.57,484.2725,"Desktop Retargeting"
6,2017-09-18,12069,10982,40,0,0,97.8303,"Mobile Web Retargeting"
